FileID 		 Category 		 Angle
6d7beb67		ice		44.62
de0a13aa		ice		36.90
65979231		ship		35.79
6071a6f2		ice		43.26
32580a22		ship		34.87
0b87e9b9		ice		43.96
f0ef5d45		ice		39.23
c6ffd9f1		ship		37.98
4fd7600f		ship		42.45
dee16fa7		ship		38.11
1a58d98b		ship		43.11
23f30ff1		ice		39.23
291c8713		ice		36.11
3e21b615		ice		39.58
8a1c5528		ice		35.29
66348d03		ship		41.13
f9209504		ship		NA
68a80de0		ice		33.64
13b318de		ship		34.87
c9124fed		ice		34.48
6f17c8e6		ship		34.05
d92ff35c		ice		37.69
0113e164		ship		43.23
a9bed487		ice		36.11
456d6182		ice		39.23
99d068d8		ship		36.40
2b88818c		ice		42.56
a4067cf5		ship		39.78
4184f356		ship		43.85
35053475		ship		45.12
ae99ad14		ship		45.89
4cb68941		ship		33.14
5d9fd419		ship		43.11
e4c50fc5		ice		38.85
9d2c5335		ice		33.63
7cc795e7		ship		43.79
1dc1c160		ice		40.39
794293b5		ice		43.27
78d8045d		ice		38.86
aca0ccb4		ice		38.48
bb4a94cd		ice		42.56
551856d8		ship		NA
119f046b		ship		35.72
5316efdf		ice		42.56
97e2d963		ship		41.14
0c2cf1d0		ice		43.95
ca3a6c6e		ice		35.31
1123c599		ice		43.26
fb19a44c		ice		43.97
e8f01e7e		ice		36.11
6706ea46		ice		36.11
9bccbe2e		ship		33.92
d6913851		ship		42.79
51e96360		ice		31.04
e77f7e17		ship		45.88
d588cd39		ice		41.14
28758181		ice		33.65
89842932		ship		NA
ab1ece17		ship		39.85
83b74cae		ice		34.47
f76458ab		ship		NA
d33e98bb		ice		39.23
7f3356fa		ice		40.72
78ec206c		ice		34.47
7d3213df		ship		36.52
c7d45cb0		ice		38.07
bacaacf9		ice		38.46
15b788fb		ship		41.20
b8e18fbb		ship		45.24
258ae38c		ice		39.23
2d8a438e		ship		33.06
2d29483b		ship		33.19
87a72548		ship		39.03
b6cfe64f		ice		40.71
133f346d		ship		41.91
0d3ec646		ice		42.56
2f881d78		ship		45.93
57a7eee8		ship		38.02
bab1926a		ice		39.22
20e4176e		ship		35.59
35ac7dc2		ice		42.56
66dbf620		ship		31.31
5196228c		ice		45.36
d6566373		ship		39.50
27ac12ee		ice		36.92
0c33ca9e		ice		40.41
2ed64fa3		ship		34.04
d75f4b30		ice		42.55
d3031eaf		ice		42.58
b0db8992		ship		43.20
5ff4495d		ice		39.96
9847a428		ship		NA
51e9dd28		ice		38.48
a9ab128c		ice		38.12
5a962d7c		ship		NA
ed7569f9		ship		37.33
691efc6d		ship		39.60
3c546105		ship		39.52
434c4170		ice		33.64
ae882030		ship		45.12
c7994ee4		ship		44.59
c22499f6		ship		35.79
7ce7d67d		ship		42.57
7f13d74d		ship		38.17
c1b8144e		ship		43.22
c84a92a0		ship		35.77
ba2b4c39		ship		NA
4b58ca02		ice		36.90
3477579e		ice		42.13
26f7b798		ship		45.24
ea2440a6		ice		38.46
78ce5f90		ship		37.27
dbd93310		ship		42.41
1c536d78		ship		42.51
bdc40587		ship		40.98
aa4d8381		ship		43.22
c56b4f9f		ice		30.16
4a1c2a02		ice		35.29
74a7b35f		ship		32.26
832a5d0c		ship		38.14
fd228ba0		ship		43.91
0c954027		ice		40.71
a2f6ae55		ice		40.71
65a8e79e		ship		35.66
4cb1ed34		ice		45.29
33f313c3		ice		45.29
c53a1583		ice		39.98
b9da7ff1		ship		31.37
076d3642		ice		40.40
b7969c68		ship		34.02
3bc5d385		ship		38.10
6dfd6633		ice		39.23
f575fc15		ship		42.61
fbeebbbb		ship		42.55
f84a5fc5		ship		43.92
92b72c29		ship		43.24
54523e81		ship		37.33
54cc4bbe		ship		41.79
0f7ef121		ice		40.39
89cd23a8		ice		36.11
0615d2f8		ice		43.94
892d81f6		ship		44.59
a68bcde2		ship		36.52
20e53553		ice		38.91
72da83eb		ice		40.38
d0e8d1b5		ice		42.56
356f8d3a		ice		36.92
95e55acb		ship		38.14
60227188		ship		37.38
7fc2ed42		ice		34.47
0d33dfaf		ship		43.79
a4dc6d9c		ice		40.38
8a4259a3		ice		44.60
707b3866		ice		37.69
c084b83d		ice		37.69
c88fb497		ship		40.98
944e1ee2		ice		41.42
6e9d5935		ice		39.56
30911a15		ship		39.64
2dfb666c		ice		45.29
9d0b55d0		ice		38.48
025f1df9		ice		45.29
18ec6625		ship		34.95
29039eaa		ice		45.36
9eeec033		ship		33.18
4712eece		ship		42.51
83b85acf		ice		43.26
79b62cbe		ice		39.23
88b5b1aa		ice		42.56
94dbd8f7		ship		45.24
72c46573		ice		38.46
527bc702		ship		41.93
ff3e8685		ice		41.08
a678fd9c		ice		35.30
ff9db753		ice		42.56
4b5591fe		ship		39.64
a6bcfae8		ship		41.70
a8ad190c		ice		34.47
ffead436		ship		39.60
c1bf693f		ship		43.23
4ae3bbc4		ship		38.27
df643161		ice		45.29
249dac4a		ice		42.56
b237b4fd		ice		45.27
d5eb62bf		ice		40.70
f646fdee		ship		34.05
9de164df		ice		45.29
61939c43		ship		37.36
779308ce		ship		34.97
a1766f00		ice		41.87
24d42321		ice		38.46
e0323d3d		ice		31.34
925aeb50		ship		43.79
1b4308b4		ship		NA
b6085e43		ice		37.25
26d5cd61		ship		38.75
79c2a876		ice		41.88
9d128f64		ice		39.96
84e0d5b9		ship		41.93
5c65b4d1		ship		33.20
4b5201f0		ice		39.65
94913c6b		ship		NA
51af2ec6		ship		36.44
c86a6ff2		ship		39.64
1bd0680c		ship		40.25
d6c28aaf		ship		34.96
6e9b3b19		ice		39.22
a996191d		ice		37.22
22b5520d		ice		34.47
5c3315e9		ship		42.41
6a182742		ship		31.37
56029b57		ship		33.92
d1bf920a		ship		40.25
10ceaa35		ice		39.63
9f345fd1		ice		38.02
1924ceeb		ice		45.27
bbad8fed		ship		34.04
4082b192		ice		36.10
1130ed26		ship		38.78
8996737e		ship		45.37
11581b71		ice		45.41
46c85664		ice		43.95
646f6db3		ice		41.12
87319e1c		ice		43.24
796ebe09		ice		39.98
ed06efcc		ship		43.48
b75e73e5		ice		34.47
4777aa81		ship		41.76
fa943a88		ice		39.61
ece8ca94		ice		38.48
fffe76e4		ice		41.84
41477516		ice		39.98
267dcb11		ship		33.22
7b489754		ice		40.39
52d8851b		ice		39.22
01208f76		ice		42.57
fa537e8a		ship		38.02
89353676		ship		44.47
70dd04b1		ice		41.13
b7724e0b		ship		33.28
c0ce2db6		ice		38.83
2f349ae8		ice		44.62
7830fc71		ship		43.22
9915bb7e		ice		37.69
0d42919f		ship		43.84
8ea22423		ice		43.26
85353f2c		ice		43.95
f82ef974		ship		43.93
74c92938		ship		38.26
e05644fb		ice		42.84
9545edd5		ice		40.71
0d42590b		ice		34.49
8a64ac2c		ship		39.00
7b30cb99		ship		35.78
5cb21dc1		ship		36.55
741dbbfc		ice		39.98
154e0b2b		ship		40.98
43637b8a		ship		NA
0859ef5e		ship		43.91
b83c1c5e		ship		38.16
54b0da58		ship		42.76
6cb7c7c6		ice		38.46
569f5df3		ice		34.85
0b13cae5		ice		36.11
737a9cac		ice		32.79
1303a495		ship		44.02
b11b353e		ship		43.29
3a0344b8		ice		37.69
7bf29f35		ice		40.42
a85f883b		ship		38.16
3e241d35		ice		40.71
d74f3144		ship		43.99
b74c6681		ship		45.18
cfe2ed3c		ice		33.13
60bcf9a7		ice		36.11
2c039c2f		ice		37.69
26fb0d4f		ice		43.26
f957086b		ship		40.25
5400fdf1		ship		36.56
5a501d33		ship		45.36
062857c0		ice		45.29
6445480e		ice		42.56
f56005f2		ice		42.17
6212bcc2		ice		33.64
b33ba1c3		ship		45.38
2d348f42		ice		40.34
02b582a3		ice		45.29
3663415e		ship		44.45
146aa91f		ice		36.47
e22c3951		ship		36.70
871a864c		ship		43.98
870567e3		ice		40.72
3fec3dcf		ship		39.51
430f9c05		ship		35.79
cfe9ede6		ice		40.71
6738197b		ice		36.43
a91ca38c		ice		34.47
573948d6		ice		39.23
ae0749b5		ship		43.22
74565344		ship		41.15
1740ba41		ship		43.29
ee35ad62		ice		39.22
4fa6d8ae		ship		36.54
3e5ec769		ship		40.38
1ef4255b		ice		39.96
93ec3e49		ice		34.47
51cb8ffc		ice		36.12
b5134299		ship		30.45
479620e5		ship		43.47
31dc0991		ice		44.62
b36a9700		ice		40.39
0f383168		ship		32.31
bc9745e9		ship		39.50
edf62967		ship		41.86
86edc13c		ship		43.78
a750abdc		ship		38.00
0b59fa1e		ice		36.90
54673bc9		ship		38.14
8144048c		ice		34.47
e1eb80f3		ice		35.30
66ea2fbd		ice		36.11
a63467f2		ship		34.87
f3d0355b		ship		40.44
b02c772f		ice		42.56
c9dcc1c8		ship		35.79
3cbf9912		ice		42.57
e2a547bf		ice		35.30
8d5b55f1		ship		NA
11ab27f8		ship		39.61
56c8639e		ship		42.51
fa8ee5b1		ship		45.36
60ad0aa8		ice		35.30
d83b0e62		ice		39.23
538701d0		ice		40.72
a9910e86		ship		34.89
63e86eae		ice		40.72
26e49ee1		ship		38.75
213dc696		ice		42.56
65460dbe		ship		35.67
c0d4f75a		ship		37.19
32b4a247		ice		45.28
224d5423		ice		37.23
932c43f2		ship		42.41
e869a49a		ice		44.62
9e25e53e		ship		40.40
b7653ab1		ice		38.09
9b9349e8		ship		NA
32e6a3f7		ship		36.45
19279980		ship		42.64
3a32ee9b		ice		43.95
2abe1a3d		ice		42.15
682d8246		ship		40.98
f8284ca0		ice		42.56
b792a605		ship		42.41
f9a440e0		ice		33.64
2a73c7e8		ship		NA
88bad85f		ice		41.44
9c7eded0		ship		42.54
9c810836		ice		38.87
a51140e3		ice		44.62
471b4962		ice		34.47
d348093d		ice		40.71
6e6c1c76		ice		34.47
5a925c68		ice		39.98
da120a5a		ship		44.46
9ce9aca5		ice		42.56
7810a630		ice		41.86
e967db90		ice		33.63
256a8dc2		ice		44.62
492bb0d3		ship		33.08
b3206c76		ice		36.49
e7bedace		ship		38.93
df4c99f5		ice		44.61
9cb5cd37		ship		38.75
2cc2bcec		ice		38.47
5f4c8750		ship		39.54
638b3f0a		ship		31.58
3c98959e		ice		44.04
ff877523		ice		42.15
df5b243a		ship		43.34
eed649d1		ship		35.56
7e780812		ice		38.48
1668b420		ice		43.27
76f503e2		ship		31.34
3b0163d1		ship		33.40
20483e06		ice		38.02
89c8c34b		ship		38.15
c0d49276		ice		36.46
9efee165		ice		33.63
135d49fe		ship		39.66
7e975fab		ice		33.64
7fbd1c2e		ship		38.90
9ca2cf2a		ice		35.30
8a178d4e		ice		43.94
a49af929		ship		38.14
debf3bc1		ice		41.84
ff0fbffe		ice		37.70
c826d611		ship		45.12
388c5565		ice		35.30
35a8236c		ship		41.13
82db4fdc		ship		45.24
bbfc1788		ship		43.22
5e798f71		ice		43.26
2334265c		ice		40.39
992bbcd7		ice		37.23
19f6736f		ship		41.20
3b81a400		ship		36.59
0a982892		ice		43.26
70446435		ship		NA
616733d1		ship		33.29
dfe9aa29		ship		35.63
abd13315		ship		43.99
be0d9575		ice		42.56
a0d9ef1f		ice		39.98
fa4b7a44		ship		42.51
0a0c6272		ice		39.98
7e3044ef		ship		41.77
4c114b6f		ice		40.72
17d06536		ice		34.47
afb46b2b		ice		41.14
301293ea		ice		35.30
a1bb8d84		ice		38.07
6b37488d		ice		44.59
058a5768		ship		39.50
275c2a27		ship		39.65
d26bed47		ice		38.46
7af72b51		ship		37.31
78aa37bd		ship		39.50
fc70fa1d		ice		36.47
a7493a9c		ice		41.87
d80220d5		ship		45.24
d660824c		ship		39.63
7a665fa2		ship		43.27
ebeb858f		ice		36.44
e0cff0f1		ship		37.19
c03c0809		ice		37.24
07ecb0dd		ice		43.26
25728745		ice		45.29
1613016a		ice		39.98
618ac08e		ice		42.15
fd6a4725		ice		44.60
cad45122		ship		43.92
882e8128		ship		45.25
a2930a87		ice		38.46
2181e24f		ice		35.67
f06ecb96		ice		30.49
7e1ca845		ship		31.37
d8ed5202		ice		42.56
7cdd2db8		ice		39.23
c11b6e19		ice		37.29
626bcc9c		ice		37.69
4d665e8c		ice		40.40
85248702		ship		41.70
29ad22d1		ice		38.11
2d736d0a		ship		44.04
ec36aef0		ship		45.13
be6583a3		ice		43.94
dea041a8		ship		39.69
9337d950		ice		33.64
09ecea99		ship		40.49
b5168440		ice		33.99
2e5c433c		ice		33.63
2133a43f		ice		45.27
35080d73		ice		43.27
8687f19e		ice		37.69
246a9cf9		ship		38.06
5210b709		ship		45.39
fe70a6d7		ice		34.49
0abde10f		ice		35.30
267afe4f		ship		40.44
b5385b7e		ship		44.78
1f81137d		ice		36.11
76ac4153		ice		36.11
41e04309		ice		42.56
cbd26eff		ship		34.86
ddf0ecc7		ice		39.23
1c3e9901		ship		34.23
55a724b1		ship		34.75
ca69f5a4		ship		35.74
7faa4a03		ship		38.91
81b3ae87		ship		39.66
8dc762ef		ship		38.16
16383865		ice		43.94
2ff98f07		ice		39.22
f3e78568		ship		39.69
cc697de5		ice		37.69
7947e997		ship		38.11
bb738e81		ship		35.78
191a909a		ship		34.13
28c78338		ship		43.09
8975a574		ice		38.07
8acbcd96		ice		43.96
58ae9d78		ice		37.69
7a7aa1a5		ship		42.51
5f6546a1		ship		41.85
957821db		ice		38.46
7e4ab13b		ice		45.28
034e5ac4		ship		33.18
261d5678		ship		37.24
11391666		ice		41.12
7229c2ec		ship		41.82
afac9486		ice		39.98
94e0a5db		ship		35.63
50fe4eeb		ice		34.47
ea95132b		ship		34.79
0840a539		ship		40.48
15dbcbf4		ship		39.65
dd1b0222		ship		35.74
7b2df385		ice		43.26
ab1c3d73		ice		38.01
4ce099f3		ship		36.44
d439fa99		ship		33.92
02530ece		ice		34.47
56054fb5		ship		36.70
ec822cf5		ship		34.15
9c74b2f4		ice		41.08
6193508c		ship		38.91
c824f98f		ice		38.48
a59605a2		ice		39.23
2d253f1c		ship		39.66
318a28af		ship		43.99
86e7ba72		ice		41.86
f09265ef		ice		34.02
e19e9776		ship		33.06
5c5cd0b7		ice		36.11
9d1b433b		ice		39.98
7f1b52ad		ice		36.12
4076392e		ship		45.22
fce0e10f		ice		45.28
aefd03c3		ice		30.44
2bcec785		ship		31.38
f828f3c5		ship		43.24
617bf094		ship		38.92
6abe8d67		ice		36.90
0aebf04a		ship		38.75
bfc8373b		ice		45.29
ea712987		ice		44.67
1cb7fac9		ice		42.56
0d3b11df		ship		40.25
a04714f1		ice		41.83
43639bfa		ice		38.05
d7522dd7		ship		33.92
b314d1f9		ship		43.92
20b1e634		ice		34.47
659ecb23		ship		42.06
c8bdb148		ship		34.95
cd53b42e		ship		43.91
447b145c		ship		42.51
88ea03f9		ice		45.29
fd5e52ba		ice		41.44
e17b1064		ice		38.09
01944ac7		ship		35.79
cc981fff		ship		33.29
20936ccc		ice		45.29
7f4d606d		ship		43.27
06ebccea		ship		40.98
a998c175		ship		44.60
b623e705		ship		NA
fb82daca		ice		37.29
86ff8b5e		ship		35.59
74a6e47e		ship		43.47
cbec7a59		ship		44.03
a514b707		ice		38.82
e697b7a9		ice		39.23
cd703f53		ship		34.77
817aba3f		ice		41.85
f613255d		ship		39.69
0015055d		ship		43.11
a0137431		ship		39.06
91bf5036		ship		36.54
58338e99		ship		38.92
76f74570		ice		32.78
f5addf4f		ship		32.19
f1c3b1f1		ship		41.70
17dcc03a		ice		38.02
da20c5c3		ice		40.39
786ee92d		ship		43.90
1e2c3eb4		ice		39.96
653f198a		ice		39.23
09aa6df7		ship		38.91
4de56b05		ship		30.68
509eece8		ship		NA
bbfea9aa		ship		NA
62e844e7		ice		39.22
796f23d4		ship		41.86
74272c83		ice		44.62
8553004f		ship		40.98
4d6f2076		ship		42.41
67b63f9a		ice		37.69
5fc0106f		ship		41.93
68315739		ship		34.10
e8984ef2		ice		38.85
1472a788		ship		35.74
34149d63		ice		41.87
606412bc		ice		40.39
fe376a63		ice		39.98
fc82c349		ship		39.66
699105e7		ice		39.55
b095a438		ice		34.47
fd1f0c9b		ship		37.30
7522fbbe		ice		45.28
1dfd85d3		ice		42.56
9746de5e		ship		40.98
7a836d1f		ship		43.11
4766f967		ice		42.85
8d1fa9f8		ship		36.59
3268312d		ship		34.02
63d60bde		ice		36.90
56be26ac		ship		43.85
d3976936		ice		34.47
f4982195		ice		42.56
d2ba9103		ship		40.32
be2e5ed6		ship		31.37
9ab2d2c4		ship		40.41
0a2e9a0a		ship		43.11
e870fc10		ice		44.62
bb9cffda		ship		33.19
220fdeb8		ship		43.15
ef96916d		ice		45.28
22679531		ice		35.63
fd47c6f9		ice		39.22
4b1a6229		ice		43.26
f254749e		ship		43.26
693a954a		ice		44.62
6ce4fc19		ice		35.29
49f4d394		ship		41.85
813e4924		ice		34.47
66037a88		ice		33.64
da54e341		ship		43.92
dd93047e		ship		34.07
4c060a7f		ship		42.40
755cabe3		ice		45.29
f492c87d		ship		37.37
95be51e8		ice		42.56
586b3dee		ship		39.65
f10fcdd5		ship		39.66
aab472df		ice		38.46
47e9b7d5		ice		38.81
a47b7dee		ice		32.23
a2d9739d		ship		38.15
b110c6bf		ice		35.31
25d6248f		ship		35.79
c70c9e1e		ship		44.01
f8c7b912		ice		45.34
d547b0d5		ship		41.90
00e759b3		ship		NA
e9f69e5f		ice		39.63
f4a07073		ice		42.56
4a57e4e6		ice		38.46
fd6a8a9c		ice		38.02
b09917f6		ice		34.47
7fe65b97		ice		37.28
6c166fcb		ice		39.23
1f39cbec		ice		42.56
45aae75f		ship		43.30
f73d35c2		ship		41.85
a44f95c2		ship		NA
c79106c3		ship		NA
b7ca0494		ice		36.48
e19deae1		ship		34.97
a4b0dabf		ice		35.30
b7959fdd		ship		42.51
efc00a93		ship		42.44
0f467f8a		ice		37.69
5b7b88d2		ice		38.86
e74b4ac4		ship		36.46
1664c714		ship		34.97
7e452214		ice		36.48
3b431e27		ice		41.88
81931bd9		ship		37.49
c1737f6c		ship		43.79
fc9548b6		ice		40.71
65b52c55		ship		41.20
f1b88228		ship		38.18
9997020b		ice		38.48
bcd498e2		ice		44.62
f813adbc		ice		39.58
36f28ec6		ship		41.05
c92d0ced		ship		NA
dbde12c0		ice		37.69
56f59b5b		ice		40.72
ef6d734e		ice		34.47
707c2bb1		ice		38.01
ad9b5269		ice		38.48
2f2975c0		ship		34.97
19c2b122		ice		39.23
8ee7101e		ship		44.48
8eb02ce0		ice		33.65
0c4dee0f		ship		34.04
d74b6f76		ship		42.64
66f454c8		ice		44.62
b950ff96		ship		40.45
c7af9fff		ice		33.64
13acab66		ice		39.98
6840d35d		ship		39.65
73974fa2		ship		45.27
39a88042		ship		34.12
7572e27e		ice		43.95
46cd533d		ship		45.37
e90038aa		ice		35.66
f38ddd0e		ship		39.03
9ff92f2d		ice		33.63
ff246b53		ice		34.00
43135317		ship		43.83
c0dc98a5		ship		32.26
4e7a22f6		ice		31.04
93beaaaa		ship		41.87
2d0612ad		ship		41.13
bc7a854a		ship		42.41
30081a03		ice		38.06
e8200704		ship		41.09
d36924df		ice		39.98
b522fe03		ice		35.63
4b68ae4c		ship		39.67
46de17e9		ship		38.90
3e8f7125		ship		37.97
7a8b58ca		ice		36.48
f103f1f8		ship		34.95
12c38030		ice		38.86
2256d68f		ice		38.48
4832f44f		ice		43.26
ed396a16		ice		39.66
b408b391		ship		38.92
1b059732		ice		41.82
939283d3		ship		34.77
4f238e36		ship		36.53
53b2d26b		ship		36.43
33ea96d2		ship		40.44
d960f724		ice		35.30
8b12622c		ice		32.79
0c3b2f7a		ship		38.75
c4edad48		ice		40.72
5158d9cd		ice		42.56
04b03693		ship		38.92
0e5ff047		ship		35.63
b04f44fe		ship		32.18
54c3d59a		ice		42.56
68d59566		ship		NA
c172464e		ship		45.13
6a448740		ice		39.96
e1cc3773		ice		43.94
31474e5b		ice		36.12
f9b91488		ice		44.62
680f2867		ship		44.85
010355ab		ice		39.98
23fbfa2e		ice		44.60
8167408b		ship		42.41
ede00a50		ice		41.85
c982ada8		ship		36.51
6c0ecb88		ship		34.13
ec25db0b		ship		41.28
352d238a		ice		32.78
2281fa30		ice		41.44
1c46183a		ice		35.30
2e8b64a0		ice		40.38
9bbad755		ship		39.67
5fb98756		ice		36.90
e7b76cde		ice		39.22
32100ae2		ice		35.30
6edf8ef7		ship		43.29
5252b669		ice		41.42
77c4d851		ship		36.55
c69e5f88		ship		43.99
0125e614		ship		37.21
c77354d7		ice		41.88
1ffde571		ice		42.56
7466c79a		ship		35.79
01d4c808		ice		44.62
9b2d93b2		ice		39.23
46b7ebab		ice		34.47
adc216a4		ship		43.34
325a4fad		ice		36.90
86ab9b92		ice		43.32
2d9d69ec		ship		42.41
f67babb0		ice		42.56
def4a178		ice		38.07
e1b69ab4		ice		38.83
dd22a9ec		ship		37.24
717f085c		ship		NA
cc23db81		ice		36.11
dedf2035		ship		41.17
2dcfd785		ship		33.06
2b2a2862		ship		41.87
a1ca169b		ship		NA
22f9a871		ice		33.63
8dbefcbd		ice		44.61
adc24af7		ship		40.30
d39522db		ship		43.98
4c16ee8c		ship		33.94
6c542180		ship		35.77
a0d0d3b5		ship		45.37
292af507		ice		39.98
c2d87794		ice		38.47
ba57a170		ship		43.30
5dea1266		ice		44.61
a52dfc0e		ship		43.22
d3aada91		ice		43.95
43966b7c		ship		42.51
68d78592		ship		38.94
ad22c618		ice		38.48
894e9be7		ship		43.78
ffb83485		ice		43.26
fb7bad50		ship		43.98
ded25b18		ship		38.76
4f29af47		ice		38.86
fa1ed515		ice		35.29
71ca7993		ice		40.71
37f93675		ice		39.64
299c9b05		ice		45.28
9e361ab3		ice		41.84
50e84584		ice		40.71
00f7ef1c		ice		34.47
5f3397e6		ship		37.38
979daee4		ship		36.56
3efd725b		ice		42.57
4673de2a		ice		39.22
0867ca68		ship		36.61
0d179546		ice		45.30
ea39dbdf		ship		38.92
5922e495		ship		38.92
824277c3		ship		45.94
77d2d457		ship		NA
e87b80d6		ice		41.43
b3040223		ship		41.75
8b98cb3c		ship		41.74
b931ba67		ice		36.46
60f72281		ice		43.26
000d71b1		ship		34.84
ea674ab5		ice		40.71
617e8264		ice		42.56
25653d70		ship		33.21
28224273		ship		NA
1a6364af		ship		42.51
b1a2ef1f		ship		42.51
c10da10b		ice		33.63
294fd9e6		ship		34.87
61d45f63		ice		42.14
bab30cb8		ice		35.30
77358b3e		ship		43.99
8bbd5220		ice		34.47
e29306d2		ice		45.29
b97aa206		ship		39.50
3a75c2d6		ice		45.29
9a574b10		ship		39.57
fb5167db		ship		42.45
1a18d38b		ship		43.11
cf9144a8		ship		43.50
f46f7549		ship		34.91
bd2fd8ca		ship		43.11
b410c773		ship		36.69
3bbdc809		ice		43.26
8eed8346		ice		43.94
4bc45388		ship		33.92
29c69ecb		ice		43.26
f29ff564		ship		42.52
4a35362f		ship		38.92
60bb1382		ice		40.42
fd049c5e		ice		42.56
5f477182		ship		42.54
df478779		ship		38.14
07d60155		ship		31.57
e0a4f516		ship		43.79
c335f5e7		ship		44.03
aaef2165		ship		38.26
2330d08a		ship		37.20
ed4f83f1		ship		42.41
a2d9dcdd		ship		41.15
af1eb06e		ice		38.03
17634039		ice		36.91
adb3b1dc		ice		42.56
ae82da14		ice		39.98
aa024698		ice		33.98
796dfa06		ice		40.40
de0460c0		ice		39.98
c5cb318a		ship		42.51
5587d806		ice		42.56
cdd37130		ice		41.42
94462587		ice		37.25
542dc0f1		ice		32.78
aa78ee28		ship		38.26
4ff0b518		ice		40.71
932d8a37		ship		32.21
0925dff9		ship		42.51
96b89aba		ice		43.95
e19e1599		ice		39.58
eac1ed77		ship		39.54
1b7acd4c		ice		38.46
11745012		ship		34.76
5d500eef		ship		43.12
25099fdb		ice		40.41
af64e5df		ice		39.98
42d5bfdb		ship		41.20
8f7cfa57		ice		39.98
b95d879e		ship		35.63
492b5f24		ice		36.11
59faf76c		ice		43.92
3bc6f607		ice		40.71
cc93f030		ice		45.28
0498f9ab		ice		45.29
cf7a269a		ship		45.38
57efa83d		ice		39.22
6fa53d41		ship		41.92
4b951984		ice		37.28
89d05291		ice		36.12
a52bd61e		ice		43.95
548cff84		ice		43.95
b764665a		ice		45.28
2c4668f9		ice		34.00
8b2054f8		ship		38.01
74725cf4		ice		38.48
364a544e		ice		40.40
d0a54ee0		ship		NA
2d272de7		ship		39.70
308fc1fe		ship		42.46
17018107		ice		35.29
7052a617		ship		33.90
3062fca8		ice		39.96
4ea48c18		ship		37.33
b7519a52		ice		42.56
ed4a2968		ice		40.40
5d58d936		ice		38.85
204941f0		ship		42.47
a4640b34		ship		42.55
51cc4525		ship		38.92
a02ce286		ice		35.30
3b716f7c		ice		36.91
cd9bfc19		ice		44.60
204afe46		ice		32.80
a7cbade6		ship		45.23
47f0178a		ice		38.07
47377a6d		ice		45.28
d782d1a6		ship		38.01
97c1936d		ship		32.40
c04a768c		ice		33.63
1a9b4671		ship		33.15
4575aa18		ice		42.57
2a3f1b90		ship		24.75
b4c0ff45		ice		37.25
1abf7cc6		ice		43.94
28f7ea4d		ship		34.05
4e19d73c		ship		43.15
1ccbfff1		ship		35.78
cc2d6324		ice		42.56
716cbd21		ship		44.59
11d9ae7b		ice		42.56
9a5b0c85		ship		41.03
2acd2386		ice		34.47
ba54a7ea		ice		42.14
13c7bc95		ice		42.58
1dbb4dd9		ice		40.70
d1aa409d		ship		38.14
5801c349		ship		41.71
e58b338a		ice		35.63
25ce9d84		ship		35.65
8dae8368		ice		33.64
1cc3a54b		ice		43.94
cdfb954f		ship		NA
4621b841		ship		34.74
3f6e7136		ship		30.70
